__isKnown,Annotation,CD_MemberList,corum_adjPvalues,corum_gene_overlaps,corum_jaccard_indexes,corum_terms,estimated_size_nm,FINAL ANSWER ROUND 1,GO_cc_adjPvalues,GO_cc_descriptions,GO_cc_gene_overlaps,GO_cc_jaccard_indexes,GO_cc_terms,HCX::interactionNetworkUUID,HCX::memberName,HiDeF_persistence,HPA_adjPvalues,HPA_gene_overlaps,HPA_jaccard_indexes,HPA_terms,img_robustness,label,max_jaccard_index,median_sim,MuSIC_robustness,name,network_edges.MuSIC,network_edges.ppi_img,network_edges.ppi_img.four_edges,ppi_robustness,selected,shared name,CD_MemberList_Size,CCD_frac,member_ct
0,,ASPH ATP2A1 BCAP31 CALR CALU CHM CYFIP2 DNAJB11 ESYT1 FKBP8 GCG GDAP2 IKBIP KCTD20 KTN1 LRRC59 MOGS NSDHL P4HB PDIA6 RCN1 SLC39A7 SMAP2 SOAT1 STC2 VAPA VAPB VIP ZSCAN21,,,,,37.65356031972128,,,,,,,9132a4d6-46c9-11ee-828b-005056aecf54,ASPH|ATP2A1|BCAP31|CALR|CALU|CHM|CYFIP2|DNAJB11|ESYT1|FKBP8|GCG|GDAP2|IKBIP|KCTD20|KTN1|LRRC59|MOGS|NSDHL|P4HB|PDIA6|RCN1|SLC39A7|SMAP2|SOAT1|STC2|VAPA|VAPB|VIP|ZSCAN21,10,1.82e-33,KCTD20 LRRC59 ESYT1 SOAT1 GCG IKBIP KTN1 RCN1 STC2 VIP PDIA6 CALU VAPA ATP2A1 MOGS DNAJB11 NSDHL SLC39A7 GDAP2 ASPH ZSCAN21 CALR P4HB BCAP31 VAPB CYFIP2,0.138,Endoplasmic reticulum,0.0,Cluster5-1,0.138,0.732,0.83,Cluster5-1,https://www.ndexbio.org/viewer/networks/c646b939-f73e-11ed-aa50-005056ae23aa,https://www.ndexbio.org/viewer/networks/a1ef3ee0-f73d-11ed-aa50-005056ae23aa,https://test.ndexbio.org/viewer/networks/9132a4d6-46c9-11ee-828b-005056aecf54,0.0,False,Cluster5-1,29,0.06896551724137931,29
0,,SPAG1 HSPA2 HSPA8 DPH2 HSPA4 BAG1 BCL9L HSF1 HSF2 SF1 SKI SKIL SMAD4 GMNN CCDC117,,,,,16.89997639461492,,,,,,,228fdc37-46cc-11ee-828b-005056aecf54,SPAG1|HSPA2|HSPA8|DPH2|HSPA4|BAG1|BCL9L|HSF1|HSF2|SF1|SKI|SKIL|SMAD4|GMNN|CCDC117,25,,,,,0.0,Cluster2-33,0.0,0.694,0.7033333333333334,Cluster2-33,https://www.ndexbio.org/viewer/networks/b5c2838f-f73e-11ed-aa50-005056ae23aa,https://www.ndexbio.org/viewer/networks/675efcbf-f73c-11ed-aa50-005056ae23aa,https://test.ndexbio.org/viewer/networks/228fdc37-46cc-11ee-828b-005056aecf54,0.5366666666666666,False,Cluster2-33,15,0.2,15
0,,SHMT1 TRAPPC4 CKS2 CKS1B CIAO3 CCNB1 SKP1 EEF1E1 CCNB2 PPP6R3 ANAPC1 RRM2B TLN1 NME2 NME1 RNH1 ANAPC7 TARS3 BUB1 PPP6R1 KANK4 C9orf40 NME3 NUBP1 TRAPPC14 TRAPPC3 TRAPPC6B FBXO5 BORA CCNA2 CDC26 PHF8 FZR1 CUEDC2 CDC27 ANAPC10 C1orf226 CDKN1C PHF23 CDKN1A ANAPC5 CDK2 CCND1 CCNA1 L3MBTL1 CCNE1 MAD2L1BP RTKN2 CDK1 NUBP2 RRM2 CDC20 CDKN3 CTSA ADSL CDK3 EPRS1 PPP6R2 USP10 QARS1 BUB1B SDCBP LARS1 MARS1,,,,,98.5303225231702,Cell cycle regulation systems,4.50e-14 | 8.25e-14 | 3.57e-09,cyclin-dependent protein kinase holoenzyme complex | anaphase-promoting complex | nuclear ubiquitin ligase complex | ,CCNE1 CCNA1 CCNB1 CCNA2 CCNB2 CDK3 CDK1 CDK2 CDKN1A CKS1B CCND1 CKS2 | BUB1B ANAPC10 CDC26 ANAPC1 CDC27 CDC20 ANAPC5 FZR1 ANAPC7 | BUB1B CDC26 FZR1 ANAPC1 CDC27 CDC20 ANAPC5 ANAPC10 ANAPC7,0.15 | 0.136 | 0.11,GO:0000307 | GO:0005680 | GO:0000152,98314348-46c9-11ee-828b-005056aecf54,SHMT1|TRAPPC4|CKS2|CKS1B|CIAO3|CCNB1|SKP1|EEF1E1|CCNB2|PPP6R3|ANAPC1|RRM2B|TLN1|NME2|NME1|RNH1|ANAPC7|TARS3|BUB1|PPP6R1|KANK4|C9orf40|NME3|NUBP1|TRAPPC14|TRAPPC3|TRAPPC6B|FBXO5|BORA|CCNA2|CDC26|PHF8|FZR1|CUEDC2|CDC27|ANAPC10|C1orf226|CDKN1C|PHF23|CDKN1A|ANAPC5|CDK2|CCND1|CCNA1|L3MBTL1|CCNE1|MAD2L1BP|RTKN2|CDK1|NUBP2|RRM2|CDC20|CDKN3|CTSA|ADSL|CDK3|EPRS1|PPP6R2|USP10|QARS1|BUB1B|SDCBP|LARS1|MARS1,32,,,,,0.0,Cluster1-4,0.15,0.613,0.99,Cluster1-4,https://www.ndexbio.org/viewer/networks/c6228f67-f73e-11ed-aa50-005056ae23aa,https://www.ndexbio.org/viewer/networks/9ea4599e-f73d-11ed-aa50-005056ae23aa,https://test.ndexbio.org/viewer/networks/98314348-46c9-11ee-828b-005056aecf54,0.9566666666666668,False,Cluster1-4,64,0.1875,64
0,,NACC1 TTC5 WDR81 ZNF281,,,,,3.3909649551106025,,,,,,,294c1a79-46cc-11ee-828b-005056aecf54,NACC1|TTC5|WDR81|ZNF281,12,,,,,0.0,Cluster2-71,0.0,0.741,0.25,Cluster2-71,https://www.ndexbio.org/viewer/networks/b5a07c9d-f73e-11ed-aa50-005056ae23aa,https://www.ndexbio.org/viewer/networks/641ec5dd-f73c-11ed-aa50-005056ae23aa,https://test.ndexbio.org/viewer/networks/294c1a79-46cc-11ee-828b-005056aecf54,0.0,False,Cluster2-71,4,0.0,4
0,,CRELD1 GSTM3 TTK RPL35 RPL10L EIF4G1 NFU1 RPL13 RPL14 RPL18 RPL30 RPL5 RPS10 RPS11 RPS8,1.36e-14 | 2.07e-09 | 7.90e-11 | 4.19e-04 | 7.33e-04,RPS10 RPL35 RPL30 RPS11 RPL14 RPL13 RPL18 RPS8 RPL5 | RPL35 RPL30 RPL14 RPL13 RPL18 RPL5 | RPL35 RPL30 RPS11 RPL14 RPL13 RPL18 RPS8 RPL5 | RPL14 RPL13 RPL30 | RPS10 RPS11 RPS8,0.243 | 0.214 | 0.148 | 0.136 | 0.125,"Ribosome, cytoplasmic | 60S ribosomal subunit, cytoplasmic | Nop56p-associated pre-rRNA complex | TRBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle) | 40S ribosomal subunit, cytoplasmic",16.89997639461492,Ribosome associated proteins,1.38e-16 | 2.46e-11 | 6.44e-04 | 8.46e-09 | 5.09e-13 | 2.51e-12,cytosolic ribosome | cytosolic large ribosomal subunit | cytosolic small ribosomal subunit | large ribosomal subunit | ribosomal subunit | ribosome | ,RPS10 RPL35 RPL30 RPS11 RPL14 RPL13 RPL18 RPS8 RPL10L RPL5 | RPL35 RPL30 RPL14 RPL13 RPL18 RPL10L RPL5 | RPS10 RPS11 RPS8 | RPL35 RPL30 RPL14 RPL13 RPL18 RPL10L RPL5 | RPS10 RPL35 RPL30 RPS11 RPL14 RPL13 RPL18 RPS8 RPL10L RPL5 | RPS10 RPL35 RPL30 RPS11 RPL14 RPL13 RPL18 RPS8 RPL10L RPL5,0.238 | 0.226 | 0.12 | 0.119 | 0.116 | 0.1,GO:0022626 | GO:0022625 | GO:0022627 | GO:0015934 | GO:0044391 | GO:0005840,9f096dfa-46c9-11ee-828b-005056aecf54,CRELD1|GSTM3|TTK|RPL35|RPL10L|EIF4G1|NFU1|RPL13|RPL14|RPL18|RPL30|RPL5|RPS10|RPS11|RPS8,10,,,,,0.7366666666666667,Cluster5-3,0.243,0.74,0.9133333333333332,Cluster5-3,https://www.ndexbio.org/viewer/networks/c5fc90d5-f73e-11ed-aa50-005056ae23aa,https://www.ndexbio.org/viewer/networks/9b4920ac-f73d-11ed-aa50-005056ae23aa,https://test.ndexbio.org/viewer/networks/9f096dfa-46c9-11ee-828b-005056aecf54,0.0,False,Cluster5-3,15,0.0,15
1,,RPP25L RPP14 RPP40 POP7 RPP25,7.99e-09,RPP40 RPP25 POP7 RPP14,0.4,Rnase/Mrp complex,4.447217287692397,Ribonuclease P/MRP RNase rRNA processing subunit,5.31e-09 | 5.31e-09 | 1.33e-08 | 6.66e-08 | 3.99e-10 | 6.03e-10,ribonuclease MRP complex | multimeric ribonuclease P complex | ribonuclease P complex | sno(s)RNA-containing ribonucleoprotein complex | endoribonuclease complex | endonuclease complex | ,RPP25L RPP25 POP7 RPP40 | RPP40 RPP25 POP7 RPP14 | RPP40 RPP25 POP7 RPP14 | RPP25L RPP25 POP7 RPP40 | RPP25L POP7 RPP14 RPP40 RPP25 | RPP25L POP7 RPP14 RPP40 RPP25,0.4 | 0.4 | 0.333 | 0.235 | 0.208 | 0.192,GO:0000172 | GO:0030681 | GO:0030677 | GO:0005732 | GO:1902555 | GO:1905348,3042065b-46cc-11ee-828b-005056aecf54,RPP25L|RPP14|RPP40|POP7|RPP25,10,,,,,0.0,Cluster2-61,0.4,0.732,0.8866666666666667,Cluster2-61,https://www.ndexbio.org/viewer/networks/b580988b-f73e-11ed-aa50-005056ae23aa,https://www.ndexbio.org/viewer/networks/60e87a0b-f73c-11ed-aa50-005056ae23aa,https://test.ndexbio.org/viewer/networks/3042065b-46cc-11ee-828b-005056aecf54,0.4433333333333333,False,Cluster2-61,5,0.0,5
0,,IDH2 HIBCH CIAPIN1 ACOT2 HSDL2 HNRNPLL PUS1 ALDH6A1 PAPSS2 NUDT9 PPA2 ACADM DPYSL4 ECHS1 IARS2 IDH3A GPD2 ME2 PPCS GPX1 TRMT10C PNPT1 OXCT1 ICAM3 FH ACADVL ACO2 GRPEL1 DTYMK ARMC1 SLC25A14 AKR7A2 AKR7A3 ARG2 BID CPNE3 CPOX DCXR DDX28 DNAJC11 GAA GALE GCA GCLM HADH LMO4 MAP4K2 MPST NLN PPIF PPM1B RAB14 RAB7A SPRYD4 TAGLN UCHL3 USP46,,,,,85.5931726712039,,1.45e-17,mitochondrial matrix | ,HADH PNPT1 ARG2 GPX1 ACOT2 NUDT9 IARS2 ACO2 TRMT10C ACADVL IDH2 HIBCH GRPEL1 PPA2 MPST ECHS1 OXCT1 ACADM PPIF ALDH6A1 IDH3A FH PUS1 ME2 DDX28,0.1,GO:0005759,a5f87c0c-46c9-11ee-828b-005056aecf54,IDH2|HIBCH|CIAPIN1|ACOT2|HSDL2|HNRNPLL|PUS1|ALDH6A1|PAPSS2|NUDT9|PPA2|ACADM|DPYSL4|ECHS1|IARS2|IDH3A|GPD2|ME2|PPCS|GPX1|TRMT10C|PNPT1|OXCT1|ICAM3|FH|ACADVL|ACO2|GRPEL1|DTYMK|ARMC1|SLC25A14|AKR7A2|AKR7A3|ARG2|BID|CPNE3|CPOX|DCXR|DDX28|DNAJC11|GAA|GALE|GCA|GCLM|HADH|LMO4|MAP4K2|MPST|NLN|PPIF|PPM1B|RAB14|RAB7A|SPRYD4|TAGLN|UCHL3|USP46,12,,,,,0.0,Cluster1-5,0.1,0.73,0.8133333333333334,Cluster1-5,https://www.ndexbio.org/viewer/networks/c5da89e3-f73e-11ed-aa50-005056ae23aa,https://www.ndexbio.org/viewer/networks/98042eda-f73d-11ed-aa50-005056ae23aa,https://test.ndexbio.org/viewer/networks/a5f87c0c-46c9-11ee-828b-005056aecf54,0.0,False,Cluster1-5,57,0.19298245614035087,57
0,,GNAS RNASEH1 TRO RIC8B MAGED2,,,,,4.447217287692397,,,,,,,370c9c7d-46cc-11ee-828b-005056aecf54,GNAS|RNASEH1|TRO|RIC8B|MAGED2,76,,,,,0.0,Cluster2-60,0.0,0.765,0.8633333333333333,Cluster2-60,https://www.ndexbio.org/viewer/networks/b55fca19-f73e-11ed-aa50-005056ae23aa,https://www.ndexbio.org/viewer/networks/5db49f39-f73c-11ed-aa50-005056ae23aa,https://test.ndexbio.org/viewer/networks/370c9c7d-46cc-11ee-828b-005056aecf54,0.3633333333333333,False,Cluster2-60,5,0.2,5
1,,CKS2 CKS1B ANAPC1 ANAPC7 BORA CCNA2 CDC26 FZR1 CUEDC2 CDC27 ANAPC10 C1orf226 CDKN1C PHF23 CDKN1A ANAPC5 CDK2 CCND1 CCNA1 L3MBTL1 CCNE1 CDK1 NUBP2 CDC20 CDKN3 CTSA,1.56e-08 | 3.84e-08 | 6.74e-07 | 1.93e-06 | 2.08e-04 | 2.08e-04,ANAPC1 CDC27 ANAPC5 ANAPC10 ANAPC7 | CDC26 ANAPC1 CDC27 ANAPC5 ANAPC7 | ANAPC1 ANAPC5 ANAPC7 CDC27 | ANAPC1 ANAPC5 ANAPC7 CDC27 | CKS1B CCNE1 CDK2 | CDK1 CCND1 CDKN1A,0.179 | 0.172 | 0.148 | 0.143 | 0.107 | 0.107,"Anaphase-promoting complex | APC/C complex, 1.5 MDa | APC/C complex | APC/C-ANAPC16 complex | p27-cyclinE-Cdk2 - Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, CKS1B, RBX1) complex | Cell cycle kinase complex CDC2",32.97430209746665,Anaphase-promoting and cell cycle kinase complexes,9.09e-15 | 1.01e-12 | 7.63e-11 | 4.80e-09 | 8.23e-10,anaphase-promoting complex | cyclin-dependent protein kinase holoenzyme complex | nuclear ubiquitin ligase complex | serine/threonine protein kinase complex | cullin-RING ubiquitin ligase complex | ,ANAPC10 CDC26 ANAPC1 CDC27 CDC20 ANAPC5 FZR1 ANAPC7 | CCNE1 CCNA1 CCNA2 CDK1 CDK2 CDKN1A CKS1B CCND1 CKS2 | CDC26 FZR1 ANAPC1 CDC27 CDC20 ANAPC5 ANAPC10 ANAPC7 | CCNE1 CCNA1 CCNA2 CDK1 CDK2 CDKN1A CKS1B CCND1 CKS2 | CDC26 FZR1 ANAPC1 CDC27 CDC20 CKS1B ANAPC5 ANAPC10 ANAPC7 CKS2,0.276 | 0.2 | 0.178 | 0.105 | 0.1,GO:0005680 | GO:0000307 | GO:0000152 | GO:1902554 | GO:0031461,acdfe8fe-46c9-11ee-828b-005056aecf54,CKS2|CKS1B|ANAPC1|ANAPC7|BORA|CCNA2|CDC26|FZR1|CUEDC2|CDC27|ANAPC10|C1orf226|CDKN1C|PHF23|CDKN1A|ANAPC5|CDK2|CCND1|CCNA1|L3MBTL1|CCNE1|CDK1|NUBP2|CDC20|CDKN3|CTSA,10,,,,,0.0,Cluster3-23,0.276,0.713,0.9966666666666668,Cluster3-23,https://www.ndexbio.org/viewer/networks/c5b108e1-f73e-11ed-aa50-005056ae23aa,https://www.ndexbio.org/viewer/networks/94b26bc8-f73d-11ed-aa50-005056ae23aa,https://test.ndexbio.org/viewer/networks/acdfe8fe-46c9-11ee-828b-005056aecf54,0.9666666666666668,False,Cluster3-23,26,0.15384615384615385,26
1,,CENPI CENPO CENPQ CENPT DHRS12 ITGB3BP CENPN,9.22e-12 | 4.91e-11 | 2.74e-05,ITGB3BP CENPQ CENPI CENPO CENPN | CENPT ITGB3BP CENPQ CENPN CENPO | CENPT CENPI CENPN,0.556 | 0.455 | 0.231,CENP-H-I complex | CENP-A NAC-CAD complex | CENP-A nucleosomal complex,6.693652129377873,CENP Kinetochore Assembly System,,,,,,3dd8b93f-46cc-11ee-828b-005056aecf54,CENPI|CENPO|CENPQ|CENPT|DHRS12|ITGB3BP|CENPN,55,,,,,0.0,Cluster2-52,0.556,0.762,0.9933333333333332,Cluster2-52,https://www.ndexbio.org/viewer/networks/b53c8aa7-f73e-11ed-aa50-005056ae23aa,https://www.ndexbio.org/viewer/networks/5a7d41f7-f73c-11ed-aa50-005056ae23aa,https://test.ndexbio.org/viewer/networks/3dd8b93f-46cc-11ee-828b-005056aecf54,0.9966666666666668,False,Cluster2-52,7,0.0,7
